Character|Sentence
 Kan | Yeah! That way! She ran that way! 
 Emilia | Hmm... They don't seem to be lying... 
 Emilia | I need to go after her! 
 Emilia | But regardless of that... 
 Emilia | I can't overlook what's going on here. 
 Subaru Natsuki | Magic? 
 Chin | Mess with us, will you?! 
 Chin |" I don't care if you can
use magic! I'll kill you! "
 Chin |" You think you can win when
it's two against one?! Huh?! "
 Emilia | You're right. Two against one may be unfair. 
 Puck | Two against two should make it fair, then. 
 Ton | You're a user of the spiritual arts? 
 Emilia |" Correct. Back off now and
I won't come after you. "
 Emilia | Decide quick. I'm in a hurry. 
 Chin |" You bitch! Next time I see
you, I won't go easy on you! "
 Puck |" Do anything to her, and I'll
haunt you and your kin forever. "
 Puck | Not that you'll have any kin if I do that. 
 Subaru Natsuki | You saved me. Thanks. 
 Emilia | Don't move. 
 Emilia |" See? You averted your eyes because
you have a guilty conscience! "
 Emilia | Looks like my judgment was spot-on. 
 Puck | Are you sure? 
 Puck |" I think it was just an
instinctive male reaction. "
 Puck | I didn't sense any malice at all. 
 Emilia | You be quiet, Puck. 
 Emilia |" You know who stole my insignia
from me, don't you? "
 Subaru Natsuki |" Uh, sorry, but I don't
have the slightest idea. "
 Emilia | Huh? Wait, it can't be! 
 Emilia | Did I really just come around the long way? 
 Subaru Natsuki | You should probably hurry after her, miss. 
 Subaru Natsuki | I could... help... 
 Puck | Aww, you shouldn't have tried to get up. 
 Puck | What should we do? 
 Emilia | It's none of our business. 
 Emilia | He won't die. We'll just leave him. 
 Puck | Really? 
 Emilia | Yes, really. 
 Puck |" You say that, but I bet
you'll still help him. "
 Emilia | I will not! 
 Puck | Yeah, right. 
 Emilia | Absolutely not! I am not going to save him! 
 Subaru Natsuki | She's even super cute when she's mad. 
 Subaru Natsuki | That's a parallel world fantasy for you... 
 Subaru Natsuki | Is my head on someone's lap? 
 Emilia | You're awake? 
 Subaru Natsuki | I didn't know cute girls were this hairy... 
 Subaru Natsuki | Wait, that can't be right! 
 Puck | It's just a thoughtful arrangement we made 
 Puck |" so you could at least feel
happy until you woke up. "
 Subaru Natsuki | First of all, don't talk in that high voice! 
 Subaru Natsuki |" No sane guy confuses a cat
for the main heroine! "
 Puck |" Aww, making myself bigger was
worth it to see you so happy. "
 Subaru Natsuki | I'm not happy! 
 Subaru Natsuki | I'm sorry about this. 
 Subaru Natsuki |" You stayed with me the whole
time I was unconscious... "
 Emilia | Don't get the wrong idea. 
 Emilia |" I had to stay because there
are things I want to ask you. "
 Emilia |" Healing your wounds and making Puck
your pillow until you woke up "
 Emilia | were for my own benefit. 
 Emilia | So I need you to repay me in kind. 
 Subaru Natsuki |" For such a normal favor, you're making
it sound like I really owe you big. "
 Emilia | No such thing. 
 Emilia |" You have some idea who
stole my insignia, right? "
 Subaru Natsuki | Insignia? 
 Subaru Natsuki |" You mean one of those badge things
that shows your affiliation? "
 Emilia | It has a jewel in the center, 
 Emilia | and it's about this big. 
 Subaru Natsuki |" Sorry, but no matter how many
times you ask me, I have no idea. "
 Emilia | I see. No helping that, then. 
 Emilia |" But you've given me the information
that you know nothing, "
 Emilia |" and you gave me my answer,
in return for healing you. "
 Subaru Natsuki | Huh? 
 Emilia | Well, I'm in a hurry, so I'm going now. 
 Emilia | Your wounds should be better now, 
 Emilia |" but next time, don't do dangerous things,
like wandering into deserted alleys alone. "
 Emilia | I'm not concerned. I'm just warning you. 
 Emilia |" If that happens to you again,
saving you won't be of any benefit to me, "
 Emilia | so don't expect me to help. 
 Puck | Sorry about her. She's so insincere. 
 Puck | Don't think badly of her. 
 Subaru Natsuki | Insincere? 
 Subaru Natsuki | I think this goes beyond that. 
 Subaru Natsuki |" She was in such a hurry to find
what was stolen from her, "
 Subaru Natsuki | yet she stopped to help me. 
 Subaru Natsuki |" And she even came up with that lame excuse
for a favor so I wouldn't feel like I owed her, "
 Subaru Natsuki | even though I'm a total stranger. 
 Subaru Natsuki | Anyone who lives like that... 
 Subaru Natsuki | is gonna end up wasting their whole life! 
 Subaru Natsuki | Hey! Wait up! 
 Emilia |" What? Just so you know, I can only spend
just a little more time with you. "
 Subaru Natsuki | I sense you're being a tiny bit lenient... 
 Subaru Natsuki |" Forget that. You lost
something important, right? "
 Subaru Natsuki | Let me help you. 
 Emilia | But you said you don't know anything... 
 Subaru Natsuki | But I remember her face, at least! 
 Subaru Natsuki | If I see her again, I'll know! 
 Emilia | You're very strange... 
 Emilia |" Just so you know, I can't
do anything to thank you. "
 Subaru Natsuki | I don't need you to. 
 Subaru Natsuki |" I want to thank you.
That's why I want to help. "
 Emilia | I didn't do anything deserving of thanks. 
 Emilia |" I told you, I've already received
compensation for healing your wounds. "
 Subaru Natsuki | Then... 
 Subaru Natsuki | I'm going to help you for my own sake, too. 
 Subaru Natsuki | My objective is... Let's see... 
 Subaru Natsuki | Yeah! One good deed per day! 
 Puck |" I don't sense any malice. I think
you can just accept his offer. "
 Puck |" The more shields between yourself and
ruffians, the better, after all. "
 Subaru Natsuki | That's what you want me around for?! 
 Emilia |" I mean it, though.
I can't do anything to thank you. "
 Subaru Natsuki | No problem. Just leave it to me! 
 Subaru Natsuki |" I talked big, but isn't this town too
huge to find one little thing in? "
 Emilia | It's the capital of Lugunica. 
 Emilia | You didn't even know that, um... 
 Puck |" That's right. We haven't
asked your name yet. "
 Puck | Should we all introduce ourselves? 
 Subaru Natsuki | Oh, yeah, you're right. 
 Subaru Natsuki | I'll introduce myself first, then. 
 Subaru Natsuki | My name is Natsuki Subaru. 
 Subaru Natsuki |" Not only am I clueless,
I'm also broke beyond compare! "
 Subaru Natsuki | Nice to meet ya! 
 Puck |" When that's all you say,
you really do sound hopeless. "
 Puck | And I'm Puck! Nice to meet you! 
 Emilia |" It's very unusual to see someone who
can touch a spirit so casually. "
 Emilia | Where are you from? 
 Subaru Natsuki |" Well, following the usual pattern,
a small island nation to the east. "
 Emilia |" Lugunica is the easternmost
nation on our continental map. "
 Emilia | There's no nation east of here. 
 Subaru Natsuki |" No way, really?
There's nothing east of here? "
 Emilia |" You have no idea where you
are, you have no money, "
 Emilia |" you can't read, and you have
no one who can help you. "
 Emilia |" You might be in an even more
precarious position than me, um... "
 Emilia | Subaru... was it? 
 Subaru Natsuki | Yes, that's my name. 
 Puck |" But when I look at you this way,
you look pretty well-built. "
 Subaru Natsuki | I do work out every day. 
 Subaru Natsuki |" For a shut-in who's gotta guard
his house, that much is a given. "
 Emilia |" I'm not sure I understand
what a ""shut-in"" is, "
 Emilia |" but that means you're from a
respectable family, right? "
 Subaru Natsuki | H-Hey— 
 Emilia | Your fingers, too. They're very pretty. 
 Emilia |" They're evidence that you don't
live like a peasant at all. "
 Emilia |" And your muscles don't look like
the kind you gain by working. "
 Subaru Natsuki | Uh, anyway, I know your cat's name now, 
 Subaru Natsuki | but I haven't heard yours yet. 
 Emilia | My name? 
 Subaru Natsuki | Yeah. 
 Emilia | I'm... 
 Emilia | Satella. 
 Emilia |" I have no family name.
You can just call me Satella. "
 Subaru Natsuki | I see... Satella... 
 Subaru Natsuki | That's a nice name. 
 Puck | You have terrible taste. 
 Subaru Natsuki | Okay, time to get back to asking around! 
 Emilia | Hey, Subaru... 
 Emilia | Do you get the feeling that child is lost? 
 Subaru Natsuki | Uh, but what about our questioning? 
 Emilia |" That's important too, but if she's
lost, we have to do something. "
 Subaru Natsuki | I'm in no place to talk after you saved me, 
 Subaru Natsuki | but do you understand the position we're in? 
 Emilia | But... 
 Emilia | She's crying! Is she not, Subaru? 
 Emilia | If you can't do this with me, that's fine. 
 Emilia | Thanks for all your help, Subaru. 
 Emilia | I'll handle it on my own from here, 
 Emilia | after I help that little girl. 
 Emilia | I'm sorry I'm not who you were looking for. 
 Emilia | So, what's the matter? 
 Emilia | Aren't your mom and dad with you? 
 Emilia | Um, uh... Don't cry... 
 Emilia | I won't do anything to you, okay? 
 Subaru Natsuki |" What I have here is one
grooved-edge ten-yen coin. "
 Subaru Natsuki | I will now clutch it tightly in my hand. 
 Subaru Natsuki | Tight, tight, tight... like that! 
 Subaru Natsuki | And now... Imagine that! 
 Subaru Natsuki | And this... is where the coin was hiding. 
 Subaru Natsuki | You can have this. 
 Subaru Natsuki | It's rare, so take good care of it. 
 EXTRA | Thank you! 
 Subaru Natsuki | I see. You got separated from your mom, huh? 
 Subaru Natsuki | Hey, it'll be fine. 
 Subaru Natsuki |" Just leave it to me and
this young lady here. "
 Subaru Natsuki | We'll find them for you in no time. 
 Subaru Natsuki | When we do this, 
 Subaru Natsuki |" people who don't know us probably think
we're a married couple and child, huh? "
 Subaru Natsuki | How embarrassing. 
 Emilia |" At best, I can't see you as anything
more than her older brother. "
 Subaru Natsuki |" What makes you think I'm that
much younger than you?! "
 EXTRA | Oh! Mommy! 
 EXTRA | Mommy! 
 Subaru Natsuki | Looks like she found her. 
 Emilia | Yeah. I'm glad. 
 Subaru Natsuki | So... 
 Subaru Natsuki | I think we took a pretty long way around, 
 Subaru Natsuki |" but what benefit will you insist
that you got out of this? "
 Emilia |" That's easy. Now we can continue our
search with our minds at ease, right? "
 Emilia | Anyway, why did you help me? 
 Emilia | You were against the idea. 
 Subaru Natsuki |" I could say I just wanted
to show off my magic trick, "
 Subaru Natsuki | but that would be a lie. 
 Subaru Natsuki |" I told you, finding your insignia will
be my one good deed for the day! "
 Emilia |" Then, since you helped the little girl,
isn't your one good deed over? "
 Subaru Natsuki | That comeback was way too logical! 
 Subaru Natsuki |" Come on, it doesn't hurt to do more
than one nice thing in a day, right? "
 Subaru Natsuki | I just got tomorrow's out of the way. 
 Subaru Natsuki |" My plan is to get a week's worth
of good deeds taken care of early! "
 Emilia |" Subaru, you're the type that basically
wastes your whole life, aren't you? "
 Subaru Natsuki |" You're the last one I
want saying that to me. "
 Emilia | You're not a bad boy, though. 
 Subaru Natsuki |" Why are you treating me like
I'm younger than you again? "
 Subaru Natsuki |" I doubt there's that much
difference between us. "
 Emilia |" I don't think making guesses
on that will help you. "
 Emilia | I'm a half-elf. 
 Subaru Natsuki | Now I get it. 
 Subaru Natsuki | No wonder I thought you were so cute! 
 Subaru Natsuki | Elves are always beautiful, right? 
 Subaru Natsuki | What? 
 Emilia |" ""What""? Well, I mean... I'm a half-elf... "
 Subaru Natsuki | Yeah, I heard you. 
 Subaru Natsuki | What'd you do that for? 
 Puck |" I just had to do something about
this unbearable tingle I feel! "
 Subaru Natsuki |" I can't accept being hit
for a reason like that. "
 Subaru Natsuki |" Though I'll forgive you
because it was squishy. "
 Puck | I didn't hit you out of anger or anything. 
 Puck | The opposite, in fact. 
 Emilia | Subaru, you're such a dunderhead! 
 Subaru Natsuki |" Dunderhead? Who says that
in this day and age? "
 Subaru Natsuki | And why are you insulting me? 
 Emilia | Hmph! Whatever! 
 Emilia |" More importantly, we have
to get back to the search. "
 Subaru Natsuki | Hey, hang on! 
 Subaru Natsuki |" Running around without
a plan never ends well. "
 Subaru Natsuki | There's a basic rule of searches. 
 Emilia | A basic rule of searches? 
 Subaru Natsuki |" Yep. You revisit the crime
scene a hundred times. "
 Subaru Natsuki | Where was your insignia stolen? 
 Subaru Natsuki |" So you see, it seems the crime
happened right around here, "
 Subaru Natsuki |" so I came back to this fruit stand after
valiantly telling her to leave it all to me. "
 Kadomon Risch |" What? I thought I had a customer,
but it's just the broke kid? "
 Subaru Natsuki | Do you really want to take that attitude? 
 Subaru Natsuki |" Haven't you noticed I'm
not who I was before? "
 Kadomon Risch | What? 
 Subaru Natsuki | Just look who I brought with me! 
 Subaru Natsuki |" I brought someone who just
might become a regular! "
 Emilia | Um, Subaru... 
 Emilia |" You seem to have some
weird expectations of me, "
 Emilia | but I don't have any money, either. 
 Subaru Natsuki | Huh?! Seriously? 
 Kadomon Risch |" So what did you want to say to me now
that I've got two broke customers, boy? "
 Subaru Natsuki | We're actually looking for someone, 
 Subaru Natsuki |" and we hoped we could ask
you some questions... "
 Kadomon Risch |" That was a sarcastic way of telling you I
don't have time for losers with no money! "
 Kadomon Risch | Get outta here! 
 EXTRA | Mister! 
 EXTRA | Thanks for your help earlier. 
 Subaru Natsuki | What brings you back here? 
 EXTRA |" It's my husband's shop,
so we were just stopping by. "
 Subaru Natsuki | Husband? 
 Kadomon Risch | Hey, there's my girl. 
 Kadomon Risch | Wait, you know these broke losers? 
 EXTRA | She got lost, and they found her. 
 EXTRA | Here, lady. 
 EXTRA | Please accept it. 
 EXTRA | She wants to thank you in her own way. 
 Emilia | Thank you. 
 Kadomon Risch | Sorry about that. 
 Kadomon Risch |" You helped my daughter,
and I want to thank you. "
 Kadomon Risch | You can ask for anything. 
 Emilia | There, you see? 
 Emilia |" That came back around
and worked in our favor! "
 Subaru Natsuki | The air, the atmosphere, and most likely, 
 Subaru Natsuki |" the attitudes of the people
living here are awful. "
 Subaru Natsuki | Are you sure she's here? 
 Kadomon Risch | It might be that Felt girl. 
 Kadomon Risch | You said a nimble little blond girl, right? 
 Kadomon Risch |" She's well-known in the slums.
Dunno where she lives, though. "
 Emilia | Maybe someone will tell us if we ask. 
 Puck |" No one would sell out one of their own,
so I don't think that would work. "
 Subaru Natsuki | Maybe we should come back later. 
 Puck |" Whether you stay or leave,
you should decide quickly. "
 Puck | I'm almost out of time. 
 Subaru Natsuki | You're what? Out of time? 
 Puck | I have a cute appearance, but I am a spirit. 
 Puck |" It take a lot of mana just
to appear in physical form. "
 Puck |" So at night, I return to
the crystal I was summoned from "
 Puck |" and prepare for the
emergence of the sun. "
 Puck |" On average, my ideal staying time
is from about nine to five. "
 Subaru Natsuki |" Nine to five? You sound
like a civil servant. "
 Subaru Natsuki |" Employment terms for spirits are
more severe than I thought... "
 Emilia |" We'll be fine without Puck.
We have to move forward. "
 Puck | Yeah. But, sorry... I'm at my limit... 
 Subaru Natsuki |" It's almost like he's dying
when he disappears... "
 Emilia | Sorry to work you so hard, Puck. 
 Emilia |" We'll handle things from
here, so get some rest. "
 Puck | Don't do anything reckless. 
 Puck |" If it comes down to it,
use the odo to summon me again. "
 Puck | Okay, take care of the rest, Subaru. 
 Subaru Natsuki |" Hey, I haven't been alone with a
girl since I was in grade school! "
 Emilia | Don't get any weird ideas. 
 Emilia | I can use magic. 
 Subaru Natsuki | I won't! 
 Subaru Natsuki |" The bigger issue is how
we should find Felt now. "
 Emilia | I'll ask the lesser spirits. 
 Subaru Natsuki | Lesser spirits? 
 Emilia |" Lesser spirits are beings that
haven't become spirits yet. "
 Emilia |" They grow over time, and when they
gain strength and self-awareness, "
 Emilia | they become full spirits, like Puck. 
 Emilia | I'll ask once more. 
 Emilia |" Why did you call me by the
name of the Jealous Witch? "
 Subaru Natsuki | Because you told me to. 
 Emilia | I don't know who told you that, 
 Emilia | but they have terrible taste! 
 Emilia | The Jealous Witch is the epitome of taboo, 
 Emilia |" and you call me by her name,
which most dare not even say! "
 EXTRA | That's right! 
 EXTRA | That's going too far, boy! 
 Emilia |" If you have nothing to say, I'm leaving.
I have things to do. "
 Subaru Natsuki | Felt! 
 Emilia | Were you stalling me? 
 Emilia | Are you working with her?! 
 Subaru Natsuki | N-No! 
 Subaru Natsuki | Hey... W-Wait a minute! 
 Subaru Natsuki | You have it all wrong! I'm... 
 Subaru Natsuki | Damn it! 
 Subaru Natsuki | Could someone just treat me a little nicer? 
 Subaru Natsuki | Why was I even... 
 Subaru Natsuki | summoned to this world? 
 Kan | What are you babbling about? 
 Chin |" If you don't wanna get hurt, cough up
whatever you've got! "
 Subaru Natsuki | Would you stop it already?! 
 Subaru Natsuki | No one is this damn persistent! 
 Chin | You think you can mouth off to us? 
 Subaru Natsuki | You're in my way! I have somewhere I have to go! 
 Ton | Man, now you've done it. 
 Ton | You stabbed him? 
 Subaru Natsuki | You've gotta be kidding me... 
 Subaru Natsuki | It hurts... It hurts... 
 Chin | N-No! He walked right into my blade! 
 Ton | What are you doing? 
 Kan | Well, no sense in wasting it. 
 Kan | Take anything on him that's worth selling! 
 Subaru Natsuki | Huh? 
 Ton | Whoa, wait! The guards will be here any second! 
 Subaru Natsuki | But Old Man Rom ate those. 
 Subaru Natsuki | How? 
 Subaru Natsuki | C-Could... this be... 
 Chin | Run! We're in trouble! 
 Kadomon Risch | Well, boy? You want this appa? 
 Subaru Natsuki | Hey, mister... 
 Kadomon Risch | Huh? 
 Subaru Natsuki | How many times have you seen me now? 
 Kadomon Risch | What do you mean? I've never seen you before. 
 Kadomon Risch | Well? Are you buying it or not? 
 Subaru Natsuki | Sorry, but I'm broke beyond compare! 
 Kadomon Risch | Get the hell outta here! 
 Subaru Natsuki | Wallet, cell phone, corn potage snack, cup noodles. 
 Subaru Natsuki | My tracksuit and sneakers are intact, too. 
 Subaru Natsuki | And naturally... 
 Subaru Natsuki |" Thank god. A wound to the back
is a warrior's greatest shame. "
 Subaru Natsuki |" Well, with so much circumstantial
evidence, there's no denying it. "
 Subaru Natsuki | It's kinda hard to believe, but this has to be... 
 Subaru Natsuki | A time leap. 
 Subaru Natsuki | And each time, I return to my initial state. 
 Subaru Natsuki | I'll call it 
 Subaru Natsuki |" ""Return by Death."" "
 Subaru Natsuki |" I actually get a time-leap ability,
and it only activates when I die. "
 Subaru Natsuki | The precondition being pitiful is so typical. 
 Subaru Natsuki |" If I've gone back in time, Satella hasn't
helped me in this fourth life. "
 Subaru Natsuki | Meaning the debt I owed her for saving me is gone. 
 Subaru Natsuki | In that case, I should forget everything, sell this, 
 Subaru Natsuki |" save some funds, and use my knowledge
of the modern world to live in luxury! "
 Subaru Natsuki | My dream is taking shape before my eyes! 
 Subaru Natsuki | Right, mister? 
 EXTRA | Wh-Why are you asking me? 
 EXTRA | I have no idea what you're talking about. 
 Subaru Natsuki | Aw, that's cold... 
 EXTRA |" I don't wanna get caught up
in other people's problems. "
 EXTRA | Don't talk to me. 
 Subaru Natsuki |" Well, I guess ""Let sleeping dogs
lie,"" applies in any world. "
 Subaru Natsuki | But still, there are always softies 
 Subaru Natsuki |" who help others, even when
they really can't afford to... "
 Subaru Natsuki | She'd just had something precious stolen. 
 Subaru Natsuki | She didn't have time for me. 
 Subaru Natsuki | Yet she saved some useless stranger, 
 Subaru Natsuki | and even healed him. 
 Subaru Natsuki |" Then she let that useless stranger
be pleased with himself... "
 Subaru Natsuki | Even if Satella doesn't know me, 
 Subaru Natsuki | Felt still stole her insignia. And Elsa will... 
 Subaru Natsuki |" No matter how many times I repeat
this, that won't change. "
 Subaru Natsuki | They say history repeats itself, right? 
 Subaru Natsuki | Yeah. 
 Subaru Natsuki |" If I have knowledge that people
I used to know will be killed, "
 Subaru Natsuki | I can't just ignore it! 
 Subaru Natsuki | Hey, mister... 
 Kadomon Risch | What do you want, broke kid? 
 Subaru Natsuki | There's something I want to ask you... 
 Subaru Natsuki |" Have there been any pickpocketing
incidents around here? "
 Kadomon Risch |" Asking questions, without buying anything?
You really do have guts. "
 Kadomon Risch | Incidents like that aren't uncommon at all. 
 Kadomon Risch | Though, that last one was unusual... 
 Kadomon Risch |" They threw some magic around
in the street a few times. "
 Kadomon Risch |" Things that looked like icicles flew
around and lodged in the wall. "
 Kadomon Risch | But they disappeared fast. 
 Subaru Natsuki | I'm too late? 
 Subaru Natsuki |" I thought if I could keep the insignia
from being stolen, then maybe... "
 Kadomon Risch | Maybe what? 
 Subaru Natsuki | Oh, just talking to myself, but... 
 Subaru Natsuki |" Thanks, mister... For telling me,
even though I didn't buy anything. "
 Kadomon Risch | It's no big deal. 
 Kadomon Risch |" A broke kid, like you, just helped my
daughter after she got lost earlier. "
 Subaru Natsuki | I guess fate is a compelling force, too... 
 Kadomon Risch | What are you smiling about? 
 Subaru Natsuki | Nothing. 
 Subaru Natsuki | I'll buy an appa next time! 
 Kadomon Risch | Sure. Buy one, and you'll be a customer. 
 Kadomon Risch | Get to work, broke kid! 
 Subaru Natsuki | Right! 
 Subaru Natsuki | This means there's only one way. 
 Subaru Natsuki | Before Elsa comes to the loot house, 
 Subaru Natsuki |" I have to buy the insignia from
Felt, and return it to Satella! "
 Subaru Natsuki | Wait... 
 Subaru Natsuki | Satella was just an alias, wasn't it? 
 Subaru Natsuki |" Then I've gotta get her to tell
me her real name this time— "
 Kan | What are you babbling about? 
 Chin |" If you don't wanna get hurt, cough up
whatever you've got! "
 Subaru Natsuki |" I'm getting sick of seeing your faces,
Larry, Moe, and Curly. "
 Subaru Natsuki |" After doing this four times,
I've learned my lesson! "
 Subaru Natsuki | Guards! 
 Kan | What the hell, you bastard?! 
 Subaru Natsuki | My memory from before was right. 
 Subaru Natsuki | This world does have some kind of police force! 
 Subaru Natsuki | Someone! P-Please, I need a man! 
 Chin | Damn it, shut up! 
 Subaru Natsuki | No, don't touch me... Stop. 
 Subaru Natsuki | I can't hear you. You're not being sincere enough. 
 Subaru Natsuki | Police... Huh? 
 Ton | Don't scare me like that. 
 Ton | I might have freaked out, just a little. 
 Chin | Just a little bit. 
 Kan | Just a tiny, little bit. 
 Kan | Trying to run won't help you. 
 Reinhard van Astrea | That's enough. 
 Ton | Red hair. 
 Ton |" And a knight's sword, with scratches
made by dragon claws. "
 Ton | It can't be. 
 Ton | Reinhard? 
 Ton | The master swordsman, Reinhard? 
 Reinhard van Astrea | Seems I needn't introduce myself. 
 Reinhard van Astrea | Although, that nickname is a bit much. 
 Reinhard van Astrea |" I don't know how much my modest
strength could aid him. "
 Reinhard van Astrea | But if you wish to resort to extreme measures, 
 Reinhard van Astrea | as a knight, I would have to fight back. 
 Ton | S-Screw this! It's not worth it! 
 Reinhard van Astrea | I'm glad we're both safe. Are you unhurt? 
 Subaru Natsuki |" A-Allow me to thank you, from the bottom
of my heart, for saving my life! "
 Subaru Natsuki |" I, Natsuki Subaru,
deeply admire your selflessness! "
 Reinhard van Astrea | No need for such formality. 
 Reinhard van Astrea |" Once it was three against two,
they lost their advantage. "
 Reinhard van Astrea | If I'd been alone, it would have been different. 
 Subaru Natsuki | H-His nice-guy index is off the charts. 
 Subaru Natsuki | Uh... Reinhard-san, right? 
 Reinhard van Astrea |" You may just call me ""Reinhard,"" Subaru. "
 Subaru Natsuki | He closed our distance like it was nothing... 
 Subaru Natsuki | Well, thanks again, Reinhard. 
 Subaru Natsuki |" You're the only one who heard me
shouting and came to help... "
 Subaru Natsuki | Talk about lonely. 
 Reinhard van Astrea |" For most, it's too risky to face off
against people like them. "
 Reinhard van Astrea |" As far as it goes, you were
right to call for the guards. "
 Subaru Natsuki | Are you a guard? 
 Subaru Natsuki | You don't look like one... 
 Reinhard van Astrea | I'm off duty today, so I'm not in uniform. 
 Reinhard van Astrea |" And I realize that I don't appear
particularly intimidating. "
 Subaru Natsuki |" Come to think of it, didn't they
call you a master swordsman? "
 Reinhard van Astrea | My family is fairly unique. 
 Reinhard van Astrea |" Every day, I feel I'll be crushed
by their expectations. "
 Reinhard van Astrea | Anyway, Subaru... 
 Reinhard van Astrea |" You have quite the unusual
hair, apparel, and name. "
 Reinhard van Astrea | What nation are you from? 
 Reinhard van Astrea |" At the moment, Lugunica is a bit
more restive than in peacetime. "
 Reinhard van Astrea | If you have a problem, I'd be glad to help you. 
 Subaru Natsuki | Would you come to the loot house? 
